trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
0,GIN,VirtualClassNode(),,3.039701361,0.039447213,0.0001,0.005456765,0.94265383,0.3593815,0.14072971,1.4990989,0.122758272,0.128499465,,0.9514223337173462,0.21197444200515747,0.143984771,0.110986953,
1,GIN,VirtualClassNode(),,1.783685526,0.000176513,0.01,0.001781159,0.988530766,0.079283059,0.204020849,0.027324073,0.189568073,0.21543333,,0.9767633080482483,0.22157257795333862,0.220328006,0.138280727,
2,GIN,VirtualClassNode(),,1.646213338,0.001826343,1e-06,0.000572649,0.974131436,0.308978409,0.033755274,16.92386436,0.03018439,0.02952143,,0.9748411178588867,0.25883549451828003,0.013880055,0.059494793,
79,GIN,UnidirectionalVirtualClassNode(),,4.88466204,2.26e-05,0.001,0.000563058,0.887484303,0.316310227,0.680565897,0.160550907,0.6704976,0.614726123,,0.9724988341331482,0.33629971742630005,0.667646598,0.466313949,False
4,GIN,VirtualClassNode(),,0.425703276,0.368175299,0.001,0.007725472,0.94943491,-0.569021702,0.150657731,-0.673556089,0.134377368,0.138593384,,0.8721451163291931,0.18381130695343018,0.154033666,0.116408562,
5,GIN,VirtualClassNode(),,2.436486923,0.17031698,0.0,0.00658378,0.813729594,1.000409842,0.119632663,0.818208098,0.101540793,0.12429257,,0.909012496471405,0.22820699214935303,0.12755464,0.114875439,
6,GIN,VirtualClassNode(),,9.576161627,0.708221988,1e-06,0.009013962,0.745583926,2.148515224,0.125093075,3.942645073,0.108360697,0.103443871,,0.954847514629364,0.25303179025650024,0.126296286,0.081837388,
71,GIN,UnidirectionalVirtualClassNode(),,5.043144719,5.82e-05,0.001,0.000652634,0.861197154,0.397098541,0.682799702,0.213716879,0.674033847,0.614633422,,0.9714973568916321,0.3471792936325073,0.672247231,0.453705438,True
73,GIN,UnidirectionalVirtualClassNode(),,4.929189157,2.18e-05,0.001,0.000597347,0.885558811,0.319919527,0.683792504,0.153798357,0.673402374,0.614587487,,0.9649372696876526,0.31058603525161743,0.671025279,0.445321139,True
94,GIN,UnidirectionalVirtualClassNode(),,5.031953786,1.09e-05,0.001,0.000660259,0.810799498,0.565236211,0.684785307,0.373730004,0.674160141,0.613910915,,0.9677014350891113,0.3116900324821472,0.670952132,0.47101269,False
56,GIN,UnidirectionalVirtualClassNode(),,5.104745398,4.7e-05,0.0001,0.000665829,0.895269987,0.295888305,0.677835691,0.153208762,0.668729477,0.611744985,,0.9743699431419373,0.3339430093765259,0.666545875,0.464477102,True
99,GIN,UnidirectionalVirtualClassNode(),,4.849550659,1.68e-05,1e-06,0.000591263,0.883465885,0.328296691,0.677587491,0.184730321,0.667087648,0.611286193,,0.9719751477241516,0.32421666383743286,0.665337157,0.462516244,False
95,GIN,UnidirectionalVirtualClassNode(),,5.036965895,1.05e-05,0.001,0.000669128,0.897697781,0.294702291,0.676842889,0.178611144,0.669613539,0.611044487,,0.9754273891448975,0.31944429874420166,0.66729682,0.450775516,False
14,GIN,UnidirectionalVirtualClassNode(),,4.846947124,0.00028393,1e-05,0.001091813,0.916785266,0.233718559,0.673864483,0.105019055,0.667719121,0.610722525,,0.9756606221199036,0.3332340121269226,0.665516695,0.463808491,True
68,GIN,UnidirectionalVirtualClassNode(),,5.842354896,7.88e-05,0.001,0.000612608,0.906236919,0.260530829,0.671630678,0.118364587,0.66544582,0.610515981,,0.9942152500152588,0.24550968408584595,0.663069584,0.478982941,True
51,GIN,UnidirectionalVirtualClassNode(),,5.234540897,5.56e-05,1e-05,0.000715399,0.888907493,0.317231536,0.677835691,0.174170151,0.672518313,0.60997685,,0.9942494630813599,0.22448128461837769,0.669410463,0.442438226,True
45,GIN,UnidirectionalVirtualClassNode(),,5.45974458,4.27e-05,1e-05,0.000784994,0.891586438,0.304179847,0.677587491,0.159918994,0.66797171,0.609963174,,0.996508002281189,0.2504537105560303,0.667004656,0.439780735,True
67,GIN,UnidirectionalVirtualClassNode(),,5.683733773,5.74e-05,0.001,0.00062592,0.865969025,0.377611548,0.681558699,0.1998436,0.668729477,0.609764669,,0.9977763891220093,0.21335875988006592,0.666108712,0.459436307,True
81,GIN,UnidirectionalVirtualClassNode(),,4.980029639,2.47e-05,0.001,0.0005953,0.911176224,0.254665941,0.678828493,0.114336871,0.664688053,0.609014862,,0.9601864814758301,0.3175660967826843,0.663355918,0.474466695,False
72,GIN,UnidirectionalVirtualClassNode(),,5.207114589,5.49e-05,0.001,0.000595245,0.881540393,0.331364185,0.677835691,0.162920743,0.668603183,0.608583472,,0.9961255192756653,0.22291141748428345,0.665890104,0.452867515,
74,GIN,UnidirectionalVirtualClassNode(),,4.435122945,2.03e-05,0.001,0.000538337,0.902888238,0.268595934,0.676098287,0.117549419,0.667087648,0.608278822,,0.9954015016555786,0.22210633754730225,0.665234558,0.461219824,
92,GIN,UnidirectionalVirtualClassNode(),,6.22131496,2.6e-05,0.001,0.000565223,0.893679364,0.297986031,0.681558699,0.145870596,0.666835059,0.608110599,,0.9956766366958618,0.2196027636528015,0.665326281,0.453660957,
25,GIN,UnidirectionalVirtualClassNode(),,4.810955569,0.000145418,0.0001,0.000627487,0.933444956,0.187589392,0.674609084,0.079655908,0.665572114,0.607985808,,0.9974761605262756,0.2245168685913086,0.664045318,0.477473137,
65,GIN,UnidirectionalVirtualClassNode(),,5.223193821,2.98e-05,0.001,0.000626899,0.936375052,0.174067795,0.670886076,0.072381057,0.661909573,0.607869538,,0.995814859867096,0.2196372151374817,0.660007158,0.468321691,
64,GIN,UnidirectionalVirtualClassNode(),,4.999936335,2.82e-05,1e-05,0.00075597,0.957471746,0.115786508,0.675105485,0.051191118,0.665319525,0.607621973,,0.9953700304031372,0.23009401559829712,0.663675039,0.460694869,
89,GIN,UnidirectionalVirtualClassNode(),,5.420688883,4.32e-05,0.001,0.000629041,0.925826706,0.210346431,0.671134276,0.097319931,0.663172518,0.606835533,,0.9958617091178894,0.23690295219421387,0.661440082,0.451621266,
98,GIN,UnidirectionalVirtualClassNode(),,5.141738097,1.41e-05,0.001,0.000783991,0.884303056,0.358357131,0.676098287,0.182001933,0.666329881,0.606804216,,0.9937275648117065,0.2578321099281311,0.664776565,0.455630204,
33,GIN,UnidirectionalVirtualClassNode(),,2.801213459,0.00025568,1e-05,0.000749973,0.964085391,0.094265446,0.670637875,0.043105166,0.662035868,0.606030075,,0.9913727641105652,0.26119905710220337,0.660154497,0.460665034,
77,GIN,UnidirectionalVirtualClassNode(),,4.890943041,2.3e-05,0.001,0.000578908,0.912348263,0.23692821,0.678580293,0.110599495,0.664182874,0.605866963,,0.9975025057792664,0.22003889083862305,0.662396558,0.457384929,
29,GIN,VirtualClassNode(),,3.370696579,1.16e-05,0.0001,0.000815306,0.940477187,0.796047032,0.025812857,34.28742981,0.026142965,0.03553181,,0.9781259298324585,0.27023041248321533,0.02377382,0.06459965,
75,GIN,UnidirectionalVirtualClassNode(),,4.526383372,2.03e-05,0.001,0.000537628,0.909585601,0.254821002,0.674360884,0.111868016,0.665319525,0.604895217,,0.9565145969390869,0.35909533500671387,0.662797188,0.446538261,
96,GIN,UnidirectionalVirtualClassNode(),,5.641136874,1.15e-05,0.001,0.000662787,0.9169527,0.227181852,0.666914867,0.101326473,0.660646628,0.604195079,,0.9958449602127075,0.2315993309020996,0.658998079,0.451452476,
21,GIN,UnidirectionalVirtualClassNode(),,4.758511693,3.63e-05,0.0001,0.000670233,0.962411051,0.095711172,0.671382477,0.041969273,0.661151806,0.604085402,,0.9956201910972595,0.2247229814529419,0.659933578,0.469039959,
23,GIN,UnidirectionalVirtualClassNode(),,3.761173993,1.23e-05,0.0001,0.000676595,0.964169108,0.095411271,0.671630678,0.04233053,0.660646628,0.603479518,,0.995454728603363,0.2274620532989502,0.659090613,0.476193857,
34,GIN,VirtualClassNode(),,2.882170418,0.000341815,1e-05,0.000793294,0.979405609,0.263905674,0.028543063,18.85309219,0.026648143,0.031045503,,0.9792765974998474,0.25807416439056396,0.016217773,0.074518585,
15,GIN,UnidirectionalVirtualClassNode(),,5.159878729,0.000140494,1e-05,0.000908829,0.965843449,0.093637146,0.670389675,0.043249566,0.66153069,0.603257093,,0.9865949749946594,0.265558660030365,0.659404926,0.453897694,
36,GIN,VirtualClassNode(),,2.201750002,0.00063924,0.0001,0.000835031,0.971285057,0.291244417,0.037726483,17.60677528,0.033846931,0.046335413,,0.9790445566177368,0.2671647071838379,0.023657585,0.082139481,
16,GIN,UnidirectionalVirtualClassNode(),,4.403969936,4e-05,1e-05,0.000532623,0.928338217,0.206355453,0.674857285,0.094811246,0.664182874,0.60288475,,0.9857377409934998,0.35011792182922363,0.662413048,0.434351486,
38,GIN,VirtualClassNode(),,3.218504784,0.000114463,0.0,0.000586602,0.978484722,0.274198562,0.032762472,15.31181335,0.029426623,0.03274164,,0.975335955619812,0.25385648012161255,0.015833548,0.09307858,
70,GIN,UnidirectionalVirtualClassNode(),,6.01475787,0.000146212,0.001,0.000511806,0.891586438,0.299152166,0.673119881,0.131401271,0.665572114,0.60285391,,0.9706530570983887,0.3320496082305908,0.663223318,0.442045886,
55,GIN,UnidirectionalVirtualClassNode(),,3.929104164,0.000157836,1e-05,0.000752823,0.955127668,0.124263309,0.668900472,0.054716464,0.661783279,0.602824845,,0.99369215965271,0.23516499996185303,0.659611448,0.435357155,
91,GIN,UnidirectionalVirtualClassNode(),,4.755137029,7.04e-05,0.001,0.000611123,0.919129343,0.222167239,0.669396873,0.096517757,0.660015155,0.602762373,,0.9962172508239746,0.21760529279708862,0.658136627,0.465129082,
