,precision,recall,f1-score,support
0,0.6597938144329897,0.7529411764705882,0.7032967032967034,85.0
1,0.6666666666666666,0.35294117647058826,0.46153846153846156,17.0
2,0.6463414634146342,0.6625,0.654320987654321,80.0
3,0.6739130434782609,0.744,0.7072243346007604,125.0
4,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0
5,0.7523809523809524,0.7821782178217822,0.7669902912621359,101.0
6,0.8759124087591241,0.9022556390977443,0.8888888888888888,133.0
7,0.6333333333333333,0.6073059360730594,0.6200466200466201,219.0
8,0.6585365853658537,0.6835443037974683,0.6708074534161491,79.0
9,0.7672413793103449,0.7876106194690266,0.777292576419214,113.0
10,0.7333333333333333,0.4782608695652174,0.5789473684210527,46.0
11,0.6388888888888888,0.6216216216216216,0.6301369863013699,74.0
12,0.3333333333333333,0.17647058823529413,0.23076923076923078,34.0
13,0.6827956989247311,0.7383720930232558,0.7094972067039106,172.0
14,0.7424242424242424,0.875,0.8032786885245902,112.0
15,0.6888888888888889,0.6739130434782609,0.6813186813186812,46.0
16,0.5333333333333333,0.631578947368421,0.5783132530120482,38.0
17,0.7419354838709677,0.6216216216216216,0.676470588235294,37.0
18,0.8421052631578947,0.6153846153846154,0.7111111111111111,26.0
19,0.6891891891891891,0.7083333333333334,0.6986301369863014,144.0
20,0.6567164179104478,0.6330935251798561,0.6446886446886446,139.0
21,0.5670103092783505,0.6547619047619048,0.6077348066298343,84.0
22,0.6589147286821705,0.6204379562043796,0.6390977443609023,137.0
23,0.6551724137931034,0.5846153846153846,0.6178861788617886,65.0
24,0.6639344262295082,0.7363636363636363,0.6982758620689655,110.0
25,0.625,0.625,0.625,104.0
26,0.7361111111111112,0.5638297872340425,0.6385542168674699,94.0
27,0.6858108108108109,0.7868217054263565,0.7328519855595668,258.0
28,0.5,0.5405405405405406,0.5194805194805195,37.0
29,0.8679245283018868,0.8961038961038961,0.8817891373801917,154.0
30,0.6721311475409836,0.5616438356164384,0.6119402985074627,73.0
31,0.6694214876033058,0.6532258064516129,0.6612244897959184,124.0
32,0.5576923076923077,0.5686274509803921,0.5631067961165048,51.0
33,0.7719298245614035,0.7801418439716312,0.7760141093474427,282.0
34,0.7073170731707317,0.7631578947368421,0.7341772151898733,190.0
35,0.2857142857142857,0.14285714285714285,0.19047619047619047,28.0
36,0.6699029126213593,0.711340206185567,0.6900000000000001,97.0
37,0.7962962962962963,0.7962962962962963,0.7962962962962963,54.0
38,0.6216216216216216,0.5609756097560976,0.5897435897435899,41.0
39,0.8297872340425532,0.8387096774193549,0.8342245989304814,186.0
40,0.8192771084337349,0.7391304347826086,0.7771428571428571,92.0
41,0.71875,0.6764705882352942,0.696969696969697,68.0
42,0.5588235294117647,0.6129032258064516,0.5846153846153845,31.0
43,0.35714285714285715,0.29411764705882354,0.3225806451612903,17.0
44,0.7619047619047619,0.7441860465116279,0.7529411764705882,43.0
45,0.6611570247933884,0.6557377049180327,0.6584362139917695,122.0
46,0.5238095238095238,0.55,0.5365853658536585,40.0
47,0.782608695652174,0.75,0.7659574468085107,24.0
48,0.6947368421052632,0.717391304347826,0.7058823529411765,184.0
49,0.6428571428571429,0.574468085106383,0.6067415730337079,94.0
50,0.625,0.625,0.625,24.0
51,0.7,0.7475728155339806,0.7230046948356808,206.0
52,0.5591397849462365,0.6303030303030303,0.5925925925925924,165.0
53,0.8372093023255814,0.8411214953271028,0.8391608391608392,214.0
54,0.2692307692307692,0.21212121212121213,0.23728813559322037,33.0
55,0.7409638554216867,0.7884615384615384,0.763975155279503,156.0
56,0.7254901960784313,0.6915887850467289,0.7081339712918661,107.0
57,0.7601351351351351,0.7352941176470589,0.7475083056478404,306.0
58,0.6363636363636364,0.6,0.6176470588235293,70.0
59,0.7647058823529411,0.7878787878787878,0.7761194029850745,99.0
60,0.8461538461538461,0.868421052631579,0.8571428571428572,38.0
61,0.5063291139240507,0.547945205479452,0.5263157894736842,73.0
62,0.6585365853658537,0.5,0.5684210526315789,54.0
63,0.7228915662650602,0.625,0.6703910614525139,96.0
64,0.5357142857142857,0.625,0.576923076923077,48.0
65,0.5882352941176471,0.3333333333333333,0.42553191489361697,30.0
66,0.6538461538461539,0.37777777777777777,0.4788732394366198,45.0
67,0.25925925925925924,0.25,0.2545454545454545,28.0
68,0.0,0.0,0.0,5.0
69,0.7777777777777778,0.7,0.7368421052631577,10.0
accuracy,0.6962645437844458,0.6962645437844458,0.6962645437844458,0.6962645437844458
macro avg,0.6515530133108989,0.628535812196381,0.6356659490239228,6532.0
weighted avg,0.6943940757252812,0.6962645437844458,0.6930887548275128,6532.0
minorities-f1,0.6861126032195862,0.658886928236833,0.6655392165205802,85.1
